,product,region,year_month,mean_weighted_price
269,ground beef,ALASKA,2023-12,4.955666666666667
270,ground beef,HAWAII,2023-01,4.8694444444444445
271,ground beef,HAWAII,2023-02,5.3566666666666665
272,ground beef,HAWAII,2023-03,4.251111111111111
273,ground beef,HAWAII,2023-04,4.834444444444444
274,ground beef,HAWAII,2023-05,5.223333333333334
275,ground beef,HAWAII,2023-06,7.644375
276,ground beef,HAWAII,2023-07,6.0912500000000005
277,ground beef,HAWAII,2023-08,5.9775
278,ground beef,HAWAII,2023-09,5.766666666666667
279,ground beef,HAWAII,2023-10,5.66
280,ground beef,HAWAII,2023-11,4.28
281,ground beef,HAWAII,2023-12,4.934
282,ground beef,MIDWEST U.S.,2023-01,4.230972222222222
283,ground beef,MIDWEST U.S.,2023-02,4.345
284,ground beef,MIDWEST U.S.,2023-03,4.53
285,ground beef,MIDWEST U.S.,2023-04,4.680833333333333
286,ground beef,MIDWEST U.S.,2023-05,4.7941666666666665
287,ground beef,MIDWEST U.S.,2023-06,4.851333333333334
288,ground beef,MIDWEST U.S.,2023-07,4.746666666666667
289,ground beef,MIDWEST U.S.,2023-08,4.839166666666666
290,ground beef,MIDWEST U.S.,2023-09,5.028555555555555
291,ground beef,MIDWEST U.S.,2023-10,4.514166666666667
292,ground beef,MIDWEST U.S.,2023-11,5.139722222222222
293,ground beef,MIDWEST U.S.,2023-12,4.430666666666667
294,ground beef,NATIONAL,2023-01,4.0675
295,ground beef,NATIONAL,2023-02,4.066666666666666
296,ground beef,NATIONAL,2023-03,4.196000000000001
297,ground beef,NATIONAL,2023-04,4.28
298,ground beef,NATIONAL,2023-05,4.445833333333334
299,ground beef,NATIONAL,2023-06,4.436
300,ground beef,NATIONAL,2023-07,4.479166666666667
301,ground beef,NATIONAL,2023-08,4.400833333333334
302,ground beef,NATIONAL,2023-09,4.482
303,ground beef,NATIONAL,2023-10,4.607500000000001
304,ground beef,NATIONAL,2023-11,4.9675
