year,cd,agriculture_forestry_fishing_hunting_mining,construction,manufacturing,wholesale_trade,retail_trade,transportation_warehousing_utilities,information,finance_insurance_realestate_rental_leasing,professional_scientific_management_administrative_waste_management_services,educationalservices_healthcare_socialassistance,arts_entertainment_recreation_accommodation_foodservices,otherservices_except_public_administration,public_administration
2020,42_CA,548,9004,17290,5394,11772,11735,3277,8021,15899,25376,11418,5994,5205
2020,38_CA,2062,27194,57669,23993,40207,34004,7414,29467,47123,82860,27867,17124,22433
2020,46_CA,2728,24725,54787,12008,33002,15544,5079,24029,41254,54305,30132,17154,10226
2020,45_CA,454,6695,12611,4075,7210,4222,1442,7680,12115,16840,6353,3752,3873
2020,47_CA,2294,22609,60079,16836,35088,16199,9514,46885,71494,71860,29086,17575,13655
2020,27_CA,1658,20340,32036,8190,21747,15831,9650,18339,32622,58748,16038,11718,16948
2020,31_CA,754,8594,16277,5899,11817,9487,2078,8615,13325,24666,9896,6391,6303
2020,28_CA,1587,21374,32283,15322,30142,25300,9102,23855,40801,80456,25109,16031,19585
2020,26_CA,12500,16750,31377,9009,21283,10563,6494,21158,34940,47547,15494,12204,18575
2020,29_CA,892,15539,20179,3862,15645,9382,7832,8866,18090,29619,12916,9283,4863
2020,40_CA,510,5772,10277,4619,6430,5293,1670,9059,12009,14676,4233,3172,4747
2020,35_CA,943,9761,14979,6815,11991,11362,1426,7979,14225,24565,7290,4963,6600
2020,39_CA,3103,42975,45703,14640,44776,36421,5614,20571,37876,79783,22683,15569,24447
2020,48_CA,7996,48916,63075,15691,56671,30255,10496,36200,74953,106054,44281,23430,41357
2020,52_CA,573,11068,15189,3390,14601,9715,2354,8495,18275,29578,12335,6124,11894
2020,50_CA,541,13055,28241,5333,19056,10425,7064,21408,55561,50055,23266,9750,12870
2020,49_CA,2030,19663,42913,12091,28729,10660,8798,34143,65303,59064,23428,11671,13452
2020,51_CA,297,4401,14867,2919,8850,4361,2590,7362,21549,23196,7571,4653,8092
2020,25_CA,5600,16732,10284,4954,20330,11627,2627,8854,20066,36641,22770,9874,12977
2020,41_CA,181,3571,7047,1662,4974,2625,813,4080,5962,8389,4808,2105,2794
2020,33_CA,619,11782,13631,4482,13180,19752,1018,3913,9646,15951,7395,6195,4513
2020,24_CA,15325,16234,18946,5119,19028,9636,4439,11651,26738,45049,17407,8961,13462
2020,22_CA,47310,21547,23251,9900,27434,19209,2959,10723,21389,59671,15934,11811,23170
2020,20_CA,7148,7358,10326,4258,10691,7008,1663,6322,11136,29841,6553,5107,9967
2020,18_CA,23143,38159,79812,13701,39004,20898,14477,23438,88447,87155,32723,18569,21675
2020,13_CA,16011,10630,14210,4943,12170,9930,1057,3501,7708,23342,5248,5047,6896
2020,21_CA,5005,3290,4464,1739,4175,2216,461,1256,3091,6791,2586,2170,2062
2020,5_CA,19584,29948,37964,12522,34449,23836,5045,18895,35035,79358,20651,15570,26746
2020,19_CA,798,5585,7613,1868,6874,3011,2559,3897,10247,18239,8648,3071,4478
2020,15_CA,475,9328,12841,3972,14242,12404,7451,14757,33134,29095,12479,6528,6955
2020,16_CA,1682,21794,78619,9194,32947,13348,34873,29687,121850,79447,22526,13978,12220
2020,17_CA,73,1263,14567,1127,3744,1724,6195,2218,21178,7212,2482,1030,1053
2020,11_CA,520,11330,21776,7080,30251,17459,26863,37206,106231,61979,30052,13317,13445
2020,2_CA,9374,25922,33058,10103,33938,14323,9648,24854,50333,64485,25184,16679,19932
2020,12_CA,711,10482,12109,3910,13306,9811,7699,11845,38197,40138,13082,8623,8127
2020,4_CA,7113,19013,22755,5891,20240,14790,3668,13535,23182,53540,15255,9293,21892
2020,9_CA,11831,27636,30858,10138,28626,24834,4342,16046,29843,55038,13170,11513,19286
2020,10_CA,1699,24506,35145,10372,29672,20593,14246,38628,83035,76566,19885,14442,20018
2020,8_CA,893,10779,7940,2777,8680,8270,2223,5575,13809,22267,8516,5442,6030
2020,14_CA,710,17727,46188,9320,22733,16048,10359,18081,62853,47229,15387,10419,9523
2020,1_CA,11882,14189,14558,4795,20831,10337,2874,8721,16035,41444,10609,7319,16276
2020,6_CA,1131,16662,11050,5615,20828,13999,3690,16076,25207,38971,11102,8258,21921
2020,7_CA,1634,10338,11906,4392,13935,10620,2850,12134,21291,38317,10855,8367,27604
2020,1_HI,1409,20614,10154,6841,26881,20114,4524,21087,29071,59301,33970,9813,35112
2020,2_HI,5140,16657,5456,4784,20639,11502,2692,14249,20476,40947,34508,8689,17861
2020,2_OR,12790,12211,22028,4865,21129,10428,3004,8619,13491,42363,12620,6949,13647
2020,6_OR,12173,29729,54873,12621,37657,15426,6252,26284,43886,77791,19099,12352,25528
2020,5_OR,5898,22071,31904,8937,27670,13260,4743,17457,29980,57190,15756,10448,13111
2020,1_OR,2955,10675,39470,6191,19209,8108,4398,14056,31310,37063,11496,6240,7915
2020,3_OR,2425,10882,20790,5995,15964,11718,3614,10168,22161,35465,12460,6840,8094
2020,4_OR,5707,11580,21304,5382,20135,7805,2384,9420,16964,43475,12600,6861,10416
2020,9_WA,2077,25974,50024,15109,46121,29940,13870,27280,79710,76917,31515,15446,16325
2020,8_WA,4016,8618,11007,4077,12399,5800,3868,6685,22046,19684,5804,3954,5526
2020,1_WA,2162,33443,65759,9790,41354,16401,14372,26943,77684,67897,19586,14888,16642
2020,7_WA,936,10458,21498,6175,34486,10676,12226,18661,65057,50682,17172,9294,8635
2020,6_WA,4122,22578,30706,8480,30013,19253,3735,16575,28354,61687,18921,12756,31699
2020,2_WA,4044,13557,20620,3675,14637,7082,2496,7553,13639,27800,8625,5788,9479
2020,3_WA,5087,24547,36260,9212,25936,20544,3926,17614,26841,54193,14273,11623,25841
2020,10_WA,1478,16261,18115,6985,16855,11429,1926,7459,15052,31477,8763,5556,16681
2020,4_WA,31109,17867,22526,8686,21910,16222,2414,7992,21524,48564,10906,7551,14017
2020,5_WA,5427,14582,19767,8343,21205,11775,3491,15076,18770,54296,11904,7806,13481
2020,0_AK,9356,14933,7705,4972,21574,21114,5057,10075,18855,52808,13968,9662,32793
2021,0_PR,5881,34604,73231,24063,74369,28955,13315,48097,68623,166530,40933,30588,79389
2021,1_MA,1471,15882,35953,8328,23988,15822,3620,21679,22713,75822,13040,9602,16345
2021,2_MA,1303,14315,33365,6240,22938,10980,5759,19439,34383,69980,9119,8320,11094
2021,3_MA,1084,19736,50833,7268,22474,12468,7320,18147,43368,62346,13016,10243,12292
2021,4_MA,1125,21217,35297,10653,28702,11436,7263,30761,51507,80668,13221,10888,15294
2021,5_MA,515,17262,38274,6532,23569,11224,11295,33100,84528,95751,21083,12395,14640
2021,6_MA,785,17367,30641,6922,20658,11302,7410,24513,45547,60746,12506,9307,13986
2021,8_MA,766,21593,28765,8546,30598,18275,10281,48509,73885,123582,22939,14377,21258
2021,9_MA,1888,27781,21014,7311,23120,11358,5574,21739,33232,60900,13916,9993,15235
2021,7_MA,158,4324,7046,1666,6522,4706,3059,7627,20928,27069,6505,3855,3770
2021,1_RI,598,9618,17491,3018,13915,5614,1909,11140,15685,36520,8760,4764,7672
2021,2_RI,1065,16053,30492,6812,22151,11616,3820,19850,27103,58328,13484,9187,12777
2021,2_NH,2260,22146,45183,9429,28700,11148,5639,17792,34508,68539,14296,10259,13746
2021,1_NH,1178,16539,37141,6046,23000,10648,5481,21016,29831,48778,12338,7837,10944
2021,2_ME,6783,18345,22560,5063,23932,11054,3142,13649,17490,62825,9439,8963,14999
2021,1_ME,3360,18742,27956,6230,25758,10288,5291,24094,28460,62310,12280,8722,11140
2021,0_VT,6101,17355,28028,4845,22312,7823,4048,12404,21580,61007,13964,8676,13734
2021,5_CT,1403,19557,41657,8147,24619,11578,6366,27105,31130,65377,12012,9542,11674
2021,1_CT,476,14606,31571,6353,21046,13416,4864,30513,29066,59852,11376,9742,14504
2021,2_CT,2195,17373,41875,6564,21371,11819,3711,22867,25636,58115,15082,8136,13771
2021,1_NY,1585,31513,28275,12979,32743,20650,9323,33660,51997,101016,16777,11596,23482
2021,3_CT,377,12031,24516,5564,15149,10362,3306,16370,21058,64037,9437,7408,9362
2021,4_CT,670,19008,26581,8229,23556,10977,8384,43587,47731,58985,15396,11354,7999
2021,6_NJ,764,20570,31082,12831,30642,26806,9938,34112,53817,68169,14727,12439,14933
2021,10_NJ,670,22632,25019,9532,29732,34905,8503,32040,49694,74220,17662,13953,18188
2021,11_NJ,691,19970,42327,13872,28026,19643,15901,46225,64133,82604,15641,13403,17187
2021,9_NJ,419,18999,38245,12632,28336,22927,7298,23935,38044,57657,16206,13073,12064
2021,7_NJ,1693,16569,38295,10179,22406,13355,10094,33042,45560,54576,11660,9649,12861
2021,5_NJ,724,16613,26151,12242,24737,14477,9636,31642,45020,65956,12207,11710,10990
2021,8_NJ,244,11834,15969,6488,13455,16222,5930,21372,28365,25726,12516,5986,4355
2021,12_NJ,382,7948,20107,6022,11766,9944,6052,20400,31700,38772,5968,4740,10247
2021,4_NJ,478,12295,10207,5250,17758,9855,3544,12817,18874,38516,8576,5885,10662
2021,3_NJ,1478,23664,31599,13831,33984,21857,10597,39784,54237,86793,14865,12150,28682
2021,2_NJ,2284,20428,18742,7655,22484,15571,4177,15204,21239,59270,21000,7530,18912
2021,1_NJ,871,17009,24316,10682,27762,18302,5829,23823,35660,67676,13302,9984,17487
2021,10_NY,344,12900,12443,8469,25462,13946,27540,62759,85322,79344,30173,14250,13920
2021,12_NY,126,6334,11007,6124,17438,5935,20549,69885,78023,71264,18045,11569,11045
2021,13_NY,122,4700,4779,2885,11145,7801,6976,13468,19815,43682,16854,7761,5671
2021,11_NY,269,14366,4968,3655,12175,15052,4618,18424,20873,56215,9909,6244,14071
2021,15_NY,569,19243,12212,6575,28792,30904,6081,28383,35547,121852,32431,17514,16511
2021,16_NY,598,16925,11313,7372,16189,12655,8479,32001,37057,72539,16201,11424,13866
2021,14_NY,82,5990,3157,1820,6358,7389,3275,7025,11720,26222,8585,4081,4742
2021,17_NY,650,16654,14330,6812,16858,10347,7002,23575,32100,66977,11151,9999,13525
2021,18_NY,2202,17004,17487,7272,21312,15838,4797,15675,26057,63441,12263,10189,16974
2021,19_NY,4471,18908,29789,5565,25404,13554,4456,16428,24576,82887,15334,10624,18112
2021,4_NY,377,23962,17157,10867,24817,24309,8452,37116,43040,103861,16079,11189,22300
2021,3_NY,336,7601,6925,5685,11021,6622,4429,21272,24503,41049,7594,4990,7078
2021,7_NY,433,33386,19689,13160,45962,42417,34485,55126,107302,130203,51900,26839,26074
2021,9_NY,87,5362,2987,1673,8197,10296,3646,8821,12826,41636,7607,5254,6313
2021,8_NY,181,14525,6506,5565,19261,22367,6349,20035,23485,78117,13247,9382,12317
2021,6_NY,188,23355,9943,5423,22359,18333,5358,21268,28163,50520,32322,17807,9904
